left_source,left_source_id,left_name,left_address,right_source,right_source_id,right_name,right_address,score,note,distance_m,distance,name,address,operator,codes
osm,way/161126131,Equinix SV5,9 Great Oaks Boulevard,epa_nei,13834011,EQUINIX LLC,GREAT OAKS BOULEVARD,0.82,blocked_by_constraint,552.8,0.476,0.5,0.938,1.0,['sv5']|[]
osm,way/600806974,Equinix SV10,7 Great Oaks Boulevard,epa_nei,13834011,EQUINIX LLC,GREAT OAKS BOULEVARD,0.82,blocked_by_constraint,757.4,0.258,0.5,0.938,1.0,['sv10']|[]
osm,way/1227604493,Equinix SV11,5 Great Oaks Boulevard,epa_nei,13834011,EQUINIX LLC,GREAT OAKS BOULEVARD,0.82,blocked_by_constraint,750.4,0.266,0.5,0.938,1.0,['sv11']|[]
osm,way/54383196,CoreSite SV5,,epa_nei,15709911,CORESITE REAL ESTATE,CORONADO DR & STENDER WAY,0.8,blocked_by_constraint,193.0,0.859,0.25,0.0,1.0,['sv5']|[]
osm,way/553223628,Stack Infrastructure,,peeringdb,6095,Stack Infrastructure Silicon Valley SVY01,2001 Fortune Drive,0.8,blocked_by_constraint,62.8,0.997,0.4,0.0,1.0,[]|['svy01']
osm,way/553223628,Stack Infrastructure,,epa_nei,18612511,STACK INFRASTRUCTURE,2001 FORTUNE DRIVE,0.8,blocked_by_constraint,38.1,1.0,1.0,0.0,1.0,[]|[]
osm,way/553223629,Stack Infrastructure,,peeringdb,6095,Stack Infrastructure Silicon Valley SVY01,2001 Fortune Drive,0.8,blocked_by_constraint,38.7,1.0,0.4,0.0,1.0,[]|['svy01']
osm,way/553223629,Stack Infrastructure,,epa_nei,18612511,STACK INFRASTRUCTURE,2001 FORTUNE DRIVE,0.8,blocked_by_constraint,71.6,0.988,1.0,0.0,1.0,[]|[]
peeringdb,15079,CoreSite - Santa Clara (SV9),2915 Stender Way Santa Clara CA  95054-3214,epa_nei,15709911,CORESITE REAL ESTATE,CORONADO DR & STENDER WAY,0.8,blocked_by_constraint,233.3,0.816,0.167,0.369,1.0,['sv9']|[]
peeringdb,3131,Digital Realty SJC (1100 Space Park),1100 Space Park,epa_nei,9991911,"1100 SPACE PARK, LLC",1100 SPACE PARK DRIVE,0.715,,58.9,1.0,0.5,1.0,0.176,[]|[]
peeringdb,3421,LADC1 - 624 S Grand Ave,624 S Grand Ave,peeringdb,5775,Crown Castle Los Angeles (624 S Grand),"624 South Grand Ave, Suite 1207",0.708,,0.0,1.0,0.333,1.0,0.34,['ladc1']|[]
peeringdb,22,JMA NAC Los Angeles,530 West 6th Street,peeringdb,3012,UnitedLayer Los Angeles,530 W 6th Street,0.706,,0.0,1.0,0.4,1.0,0.25,[]|[]
osm,way/428021816,One Wilshire,624 South Grand Avenue,peeringdb,19,CoreSite - Los Angeles (LA1) One Wilshire,624 S. Grand Ave.,0.7,,5.8,1.0,0.333,1.0,0.3,[]|['la1']
peeringdb,642,Telecom Center LA,530 West 6th Street,peeringdb,2783,Multacom Telecom Center,530 W 6th Street,0.695,,0.0,1.0,0.333,1.0,0.276,[]|[]
peeringdb,19,CoreSite - Los Angeles (LA1) One Wilshire,624 S. Grand Ave.,peeringdb,2782,Multacom One Wilshire,624 S Grand Ave,0.689,,0.0,1.0,0.286,1.0,0.3,['la1']|[]
osm,node/8897151054,San Jose Colocation Center,55 South Market Street,peeringdb,16184,Hurricane Electric San Jose 1,55 S. Market Street,0.686,,7.7,1.0,0.333,1.0,0.231,[]|[]
peeringdb,1004,XO 600 West 7th,600 West 7th Street,peeringdb,3423,LADC3 - 600 W 7th St,600 W 7th St,0.683,,12.1,1.0,0.286,1.0,0.27,[]|['ladc3']
peeringdb,403,Digital Realty LAX (600 W 7th),600 West 7th Street,peeringdb,3423,LADC3 - 600 W 7th St,600 W 7th St,0.677,,10.9,1.0,0.375,1.0,0.136,[]|['ladc3']
peeringdb,20,CoreSite - San Jose (SV1),55 S. Market Street,peeringdb,16184,Hurricane Electric San Jose 1,55 S. Market Street,0.675,,5.4,1.0,0.286,1.0,0.231,['sv1']|[]
osm,way/289620443,Digital Realty San Francisco SFO10,200 Paul Avenue,peeringdb,5326,Wave Data Centers San Francisco,200 Paul Ave,0.673,,15.0,1.0,0.333,1.0,0.167,['sfo10']|[]
peeringdb,102,Equinix LA2 - Los Angeles,818 W 7th St,peeringdb,1096,Level(3) Los Angeles,818 W 7th St,0.672,,17.5,1.0,0.333,1.0,0.16,['la2']|[]
peeringdb,19,CoreSite - Los Angeles (LA1) One Wilshire,624 S. Grand Ave.,peeringdb,5775,Crown Castle Los Angeles (624 S Grand),"624 South Grand Ave, Suite 1207",0.668,,19.0,1.0,0.182,1.0,0.32,['la1']|[]
osm,node/8897151054,San Jose Colocation Center,55 South Market Street,peeringdb,6422,ColoCrossing SJ1,55 S. Market Street,0.66,,7.7,1.0,0.0,1.0,0.5,[]|['sj1']
peeringdb,6422,ColoCrossing SJ1,55 S. Market Street,epa_nei,15968711,CORESITE,55 SO MARKET STREET,0.66,,34.6,1.0,0.0,1.0,0.5,['sj1']|[]
peeringdb,2,Digital Realty SFO (200 Paul),200 Paul Ave,peeringdb,3426,SFDC1 - 200 Paul Ave,200 Paul Ave,0.656,,34.4,1.0,0.286,1.0,0.136,[]|['sfdc1']
peeringdb,981,QuadraNet DTLA,530 West 6th Street,peeringdb,3012,UnitedLayer Los Angeles,530 W 6th Street,0.65,,0.0,1.0,0.0,1.0,0.45,[]|[]
peeringdb,3012,UnitedLayer Los Angeles,530 W 6th Street,peeringdb,7263,TurnKey Internet - CA,530 W. 6th Street,0.649,,13.9,1.0,0.0,1.0,0.444,[]|[]
peeringdb,8,Equinix LA1 - Los Angeles,600 W 7th St,peeringdb,1004,XO 600 West 7th,600 West 7th Street,0.646,,24.2,1.0,0.0,1.0,0.429,['la1']|[]
peeringdb,102,Equinix LA2 - Los Angeles,818 W 7th St,peeringdb,1003,XO 818 West 7th,818 West 7th Street,0.646,,15.3,1.0,0.0,1.0,0.429,['la2']|[]
peeringdb,3864,Opus Interactive Silicon Valley (SJC01),2001 Fortune Dr,epa_nei,18612511,STACK INFRASTRUCTURE,2001 FORTUNE DRIVE,0.646,,51.4,1.0,0.0,1.0,0.429,['sjc01']|[]
peeringdb,4678,Digital Realty SJC (3011 Lafayette St),3011 Lafayette Street,epa_nei,13771711,3011 LAFAYETTE,3011 LAFAYETTE STREET,0.645,,126.3,0.929,0.333,1.0,0.143,[]|[]
peeringdb,23,Digital Realty SFO (365 Main),365 Main Street,peeringdb,15285,3HCloud - SFO-1,365 Main St,0.642,,15.1,1.0,0.143,1.0,0.24,[]|[]
peeringdb,403,Digital Realty LAX (600 W 7th),600 West 7th Street,peeringdb,1004,XO 600 West 7th,600 West 7th Street,0.639,,1.4,1.0,0.25,1.0,0.095,[]|[]
peeringdb,2542,Digital Realty SJC (2805 Lafayette),2805 Lafayette St,peeringdb,10830,Navisite Santa Clara,2805 Lafayette St,0.637,,33.1,1.0,0.0,1.0,0.385,[]|[]
peeringdb,22,JMA NAC Los Angeles,530 West 6th Street,peeringdb,2783,Multacom Telecom Center,530 W 6th Street,0.636,,0.0,1.0,0.0,1.0,0.381,[]|[]
osm,way/1460847458,EdgeCore Silicon Valley,,peeringdb,13478,EdgeCore Silicon Valley,2201 Laurelwood Rd,0.635,,115.9,0.941,1.0,0.0,0.378,[]|[]
